year;data_pop;ygr;gr;duration
1702;444562.55606313853;1.00314698625669;1.00314698625669;1
1703;446061.5883173082;1.0031239146485964;1.0031239146485964;1
1704;448284.0466472288;1.00315786835945;1.0095035529667586;3
1707;452563.00036586897;1.0031905839164001;1.0031905839164001;1
1708;454006.94059599406;1.0031938804995766;1.0031938804995766;1
1709;456587.984510236;1.0031544295816974;1.0031544295816974;1
1710;458243.2591552227;1.0032075555913451;1.0064253995955619;2
1712;461193.84099778347;1.0032407197825048;1.0032407197825048;1
1713;463620.4410018744;1.0032311908698697;1.0064728223341768;2
1715;467306.71838074806;1.003256768970232;1.0098021610861365;3
1718;471906.69728137116;1.0032988191898382;1.0032988191898382;1
1719;473744.4321501761;1.0032161142997695;1.0064425719907282;2
1721;476803.9437996183;1.0032460124099651;1.0032460124099651;1
1722;480821.65531831194;1.003183102542557;1.003183102542557;1
1723;482352.1599518723;1.0032210159436827;1.006452406831075;2
1725;486290.9317328729;1.0032526471035177;1.0032526471035177;1
1726;488363.6645234407;1.003260822734169;1.003260822734169;1
1727;489956.13186326093;1.0032708555448946;1.0065524095857847;2
1729;493174.07019986055;1.0033043830968613;1.0033043830968613;1
1730;497045.70626123936;1.003304684845514;1.0066202906329562;2
1732;500379.97990760475;1.0033353393149556;1.0033353393149556;1
1733;502529.91692700726;1.0033340515933504;1.0033340515933504;1
1734;507842.3775972439;1.003112413060874;1.0062345132368093;2
1736;512076.54930161807;1.0031469845953613;1.0063038727027662;2
1738;515920.67802058207;1.003170979781022;1.003170979781022;1
1739;534911.6520591966;1.0032391533633818;1.006488798841275;2
1741;538549.9614944821;1.003274901378841;1.003274901378841;1
1742;540382.659505955;1.0032954172419692;1.0032954172419692;1
1743;566153.445839352;1.003273047558736;1.003273047558736;1
1744;571254.4929931265;1.0032689224615292;1.0032689224615292;1
1745;578432.8796365209;1.003230705470244;1.003230705470244;1
1746;580301.6259049317;1.0032528325774783;1.0032528325774783;1
1747;582334.2499384389;1.0032663142219467;1.0032663142219467;1
1748;584399.3365809395;1.0032806750464762;1.0032806750464762;1
1749;586316.5609016378;1.003292533621515;1.003292533621515;1
1750;598456.0278912574;1.003125507735541;1.0094058601348934;3
1753;604630.8340794394;1.0031830006027116;1.00637613269826;2
1755;611351.002185503;1.003249700404627;1.003249700404627;1
1756;613337.7097846745;1.0032537370933143;1.006518060991701;2
1758;618025.533034477;1.0033085352298983;1.006628016865164;2
1760;622475.7810185697;1.0033338976772015;1.0033338976772015;1
1761;625066.0515790217;1.0033655519435873;1.0033655519435873;1
1762;628009.7438437839;1.0033468140825652;1.0033468140825652;1
1763;630111.5756984684;1.0033962079155532;1.0033962079155532;1
1764;863638.565619538;1.0046095329676936;1.0046095329676936;1
1765;868328.5360599324;1.0046300303215894;1.0046300303215894;1
1766;872348.9235109912;1.0045628496926828;1.0045628496926828;1
1767;876913.3205285455;1.0045824421702951;1.0045824421702951;1
1768;889532.7251082294;1.0046366575893724;1.0046366575893724;1
1769;894687.1837690974;1.0045763693027077;1.0045763693027077;1
1770;908829.6027324243;1.0046325047822606;1.0046325047822606;1
1771;922201.7602133423;1.0046603974734085;1.0046603974734085;1
1772;927066.5869666134;1.0047094333355109;1.0047094333355109;1
1773;931845.5452555122;1.0047330217047525;1.0047330217047525;1
1774;939277.9904466836;1.0047888474543274;1.0047888474543274;1
1775;943957.0494601399;1.0048162056971766;1.0048162056971766;1
1776;949029.34077964;1.0048466872885278;1.0048466872885278;1
1777;957882.9892220367;1.0049028337507109;1.0049028337507109;1
1778;962875.3302708262;1.004934285867211;1.004934285867211;1
1779;968312.4324048678;1.0050249989322861;1.0050249989322861;1
1780;978140.2013438216;1.0050878875708906;1.0050878875708906;1
1781;984593.8687168274;1.005136905925835;1.010300199654161;2
1783;995028.7468456365;1.0053180585202257;1.0053180585202257;1
1784;1001607.3679506687;1.0053401152761885;1.0053401152761885;1
1785;1006956.0667570047;1.005419911038069;1.005419911038069;1
1786;1012413.6790580717;1.005234275167909;1.005234275167909;1
1787;1018270.9308380167;1.0052744162497629;1.0052744162497629;1
1788;1025256.7155822897;1.0053103084169608;1.0053103084169608;1
1789;1031741.1449485918;1.005349355947916;1.005349355947916;1
1790;1038494.2955790323;1.0053734883692134;1.0053734883692134;1
1791;1044074.6325978206;1.0053476888705413;1.0053476888705413;1
1792;1049658.0188905785;1.004527362773796;1.004527362773796;1
1793;1055105.2015305206;1.0046114656000464;1.0046114656000464;1
1794;1063859.7828718089;1.0045965364329967;1.0045965364329967;1
1795;1070915.8531233794;1.0047628521416652;1.0047628521416652;1
1796;1076770.466987971;1.0048168097125136;1.0048168097125136;1
1797;1082623.0654315066;1.0048581067335987;1.0048581067335987;1
1798;1129985.563835629;1.0054508568847629;1.0054508568847629;1
1799;1162658.9534259445;1.0052518839870368;1.0052518839870368;1
1800;1187378.103365828;1.005493754320876;1.005493754320876;1
1801;1198846.2669517074;1.0057667208687662;1.0057667208687662;1
1802;1214612.6787377803;1.006199338938304;1.006199338938304;1
1803;1245554.4744120364;1.0062843843229585;1.0062843843229585;1
1804;1253856.017424422;1.0063526382231378;1.0063526382231378;1
1805;1262127.3110870237;1.0063832800624182;1.0063832800624182;1
